nnodes nedges type capacity P s t
200  19900  graph  1000 100 1 200 
nodename posx posy itemvalue itemweight
1 476 969 0 0
2 358 700 2 379
3 125 674 9 349
4 459 918 1 417
5 181 747 10 10
6 323 18 9 45
7 211 118 8 150
8 88 317 6 15
9 977 776 9 247
10 869 740 7 312
11 807 599 8 140
12 523 869 8 122
13 825 470 9 122
14 456 116 3 169
15 716 432 7 316
16 921 192 6 33
17 754 279 7 277
18 892 879 4 367
19 305 704 7 46
20 798 838 3 268
21 451 121 6 343
22 856 15 2 73
23 591 296 3 137
24 684 920 7 221
25 72 553 4 393
26 660 879 4 443
27 153 535 4 13
28 100 330 7 273
29 6 908 5 19
30 447 74 1 431
31 341 720 4 29
32 267 447 6 63
33 999 511 7 79
34 326 656 1 134
35 215 476 4 64
36 494 19 1 31
37 597 350 8 213
38 386 540 3 250
39 646 70 1 189
40 461 70 2 436
41 976 473 3 57
42 302 481 9 317
43 9 402 10 295
44 811 367 1 56
45 663 258 5 381
46 441 356 8 351
47 978 60 9 153
48 803 329 5 418
49 572 129 3 45
50 985 139 1 59
51 958 479 8 451
52 510 555 9 366
53 181 896 5 44
54 448 179 7 216
55 319 261 2 141
56 602 295 1 17
57 734 904 7 381
58 776 95 5 118
59 658 587 7 125
60 814 321 5 192
61 198 608 5 363
62 677 528 4 266
63 668 480 7 158
64 858 592 5 450
65 962 195 2 85
66 732 920 10 162
67 27 242 7 300
68 827 560 9 402
69 491 627 3 197
70 92 810 9 427
71 240 694 7 119
72 105 327 3 386
73 598 881 2 127
74 774 256 5 378
75 468 589 1 380
76 578 18 1 107
77 197 607 2 166
78 547 865 4 108
79 440 757 3 258
80 810 402 9 377
81 952 542 4 120
82 674 331 8 81
83 136 853 10 268
84 892 627 2 262
85 833 984 4 302
86 437 73 8 153
87 678 894 10 482
88 400 276 10 123
89 775 175 10 244
90 884 596 1 62
91 116 814 3 273
92 614 313 1 216
93 422 161 9 244
94 530 862 6 113
95 918 340 4 436
96 616 223 9 399
97 234 642 6 378
98 554 371 9 475
99 495 446 7 312
100 350 680 8 461
101 782 140 3 276
102 754 460 5 385
103 34 154 9 354
104 88 810 7 69
105 681 973 9 359
106 758 797 10 424
107 139 372 4 150
108 462 561 9 422
109 534 993 6 166
110 423 804 6 451
111 685 391 2 227
112 27 920 9 157
113 33 582 6 180
114 643 881 1 453
115 380 345 1 218
116 561 163 5 456
117 485 315 5 229
118 975 520 10 454
119 822 64 4 198
120 682 503 4 382
121 389 440 7 355
122 653 528 5 40
123 164 115 7 296
124 442 698 3 102
125 460 865 1 198
126 855 146 4 62
127 257 882 4 104
128 418 642 8 232
129 816 61 3 200
130 523 197 4 126
131 406 85 8 300
132 712 244 1 114
133 400 687 10 272
134 116 574 9 313
135 751 798 9 292
136 430 492 6 377
137 590 83 7 351
138 21 754 6 355
139 198 463 6 80
140 805 659 6 458
141 680 660 8 211
142 157 289 10 53
143 894 575 4 89
144 932 63 4 449
145 636 807 9 319
146 260 394 4 58
147 892 324 8 6
148 990 645 3 497
149 11 106 9 442
150 219 115 1 449
151 256 649 5 207
152 607 846 6 83
153 732 980 9 241
154 953 283 7 406
155 795 758 1 244
156 294 828 3 450
157 770 451 4 234
158 117 16 4 120
159 26 401 3 138
160 79 14 8 463
161 209 691 6 493
162 760 453 2 426
163 15 751 10 394
164 98 27 4 478
165 857 318 7 435
166 142 466 6 272
167 319 101 3 103
168 312 52 6 401
169 82 617 6 143
170 687 229 8 368
171 727 981 8 20
172 57 497 7 192
173 784 175 6 170
174 866 162 1 280
175 928 945 9 230
176 176 489 2 467
177 637 288 4 465
178 943 4 2 423
179 391 41 10 165
180 31 601 2 397
181 711 525 1 29
182 67 31 10 443
183 979 731 2 77
184 435 413 3 327
185 349 474 9 500
186 642 76 4 457
187 807 700 2 362
188 926 591 10 477
189 227 792 3 162
190 753 507 8 42
191 89 281 3 201
192 997 78 8 316
193 569 940 5 399
194 83 961 10 226
195 333 466 5 193
196 562 397 4 366
197 992 629 1 493
198 780 323 10 204
199 360 567 10 355
200 736 61 0 0
endpoint1 endpoint2 weight
1 2 294
1 3 459
1 4 54
1 5 370
1 6 964
1 7 892
1 8 759
1 9 537
1 10 455
1 11 497
1 12 111
1 13 609
1 14 854
1 15 589
1 16 896
1 17 744
1 18 426
1 19 316
1 20 348
1 21 849
1 22 1027
1 23 683
1 24 214
1 25 580
1 26 205
1 27 542
1 28 742
1 29 474
1 30 896
1 31 284
1 32 563
1 33 696
1 34 348
1 35 558
1 36 951
1 37 631
1 38 439
1 39 915
1 40 900
1 41 705
1 42 519
1 43 735
1 44 689
1 45 736
1 46 614
1 47 1039
1 48 719
1 49 846
1 50 974
1 51 688
1 52 416
1 53 304
1 54 791
1 55 726
1 56 686
1 57 267
1 58 925
1 59 424
1 60 731
1 61 456
1 62 485
1 63 526
1 64 537
1 65 914
1 66 261
1 67 855
1 68 539
1 69 343
1 70 416
1 71 363
1 72 742
1 73 151
1 74 773
1 75 381
1 76 957
1 77 458
1 78 126
1 79 216
1 80 659
1 81 640
1 82 669
1 83 360
1 84 539
1 85 358
1 86 897
1 87 216
1 88 698
1 89 849
1 90 553
1 91 392
1 92 671
1 93 810
1 94 120
1 95 769
1 96 760
1 97 407
1 98 604
1 99 524
1 100 316
1 101 884
1 102 580
1 103 928
1 104 420
1 105 206
1 106 331
1 107 686
1 108 409
1 109 63
1 110 174
1 111 615
1 112 452
1 113 589
1 114 189
1 115 632
1 116 811
1 117 655
1 118 672
1 119 969
1 120 510
1 121 537
1 122 476
1 123 910
1 124 274
1 125 106
1 126 907
1 127 236
1 128 333
1 129 970
1 130 774
1 131 887
1 132 763
1 133 293
1 134 535
1 135 324
1 136 480
1 137 894
1 138 504
1 139 578
1 140 453
1 141 371
1 142 752
1 143 575
1 144 1015
1 145 228
1 146 615
1 147 768
1 148 608
1 149 981
1 150 892
1 151 389
1 152 180
1 153 257
1 154 836
1 155 383
1 156 231
1 157 596
1 158 1019
1 159 725
1 160 1035
1 161 386
1 162 589
1 163 510
1 164 1016
1 165 755
1 166 604
1 167 883
1 168 932
1 169 529
1 170 770
1 171 252
1 172 632
1 173 852
1 174 897
1 175 453
1 176 567
1 177 700
1 178 1073
1 179 932
1 180 578
1 181 503
1 182 1024
1 183 557
1 184 558
1 185 512
1 186 909
1 187 427
1 188 588
1 189 306
1 190 539
1 191 790
1 192 1033
1 193 98
1 194 394
1 195 523
1 196 579
1 197 618
1 198 714
1 199 419
1 200 945
2 1 294
2 3 235
2 4 241
2 5 184
2 6 683
2 7 601
2 8 469
2 9 624
2 10 513
2 11 461
2 12 237
2 13 521
2 14 593
2 15 448
2 16 759
2 17 578
2 18 564
2 19 54
2 20 462
2 21 587
2 22 847
2 23 467
2 24 394
2 25 322
2 26 352
2 27 264
2 28 452
2 29 409
2 30 633
2 31 27
2 32 269
2 33 669
2 34 55
2 35 266
2 36 695
2 37 424
2 38 163
2 39 693
2 40 639
2 41 659
2 42 227
2 43 459
2 44 563
2 45 538
2 46 354
2 47 892
2 48 580
2 49 610
2 50 842
2 51 640
2 52 211
2 53 265
2 54 529
2 55 441
2 56 473
2 57 428
2 58 736
2 59 321
2 60 593
2 61 185
2 62 363
2 63 381
2 64 512
2 65 788
2 66 434
2 67 566
2 68 490
2 69 152
2 70 288
2 71 119
2 72 451
2 73 301
2 74 609
2 75 157
2 76 717
2 77 186
2 78 251
2 79 100
2 80 542
2 81 615
2 82 486
2 83 270
2 84 539
2 85 554
2 86 632
2 87 375
2 88 427
2 89 671
2 90 537
2 91 268
2 92 465
2 93 543
2 94 237
2 95 666
2 96 543
2 97 137
2 98 383
2 99 289
2 100 22
2 101 703
2 102 464
2 103 635
2 104 292
2 105 423
2 106 412
2 107 395
2 108 174
2 109 342
2 110 123
2 111 450
2 112 398
2 113 346
2 114 338
2 115 356
2 116 575
2 117 406
2 118 643
2 119 788
2 120 380
2 121 262
2 122 342
2 123 617
2 124 85
2 125 194
2 126 745
2 127 209
2 128 84
2 129 787
2 130 530
2 131 617
2 132 578
2 133 44
2 134 273
2 135 406
2 136 221
2 137 660
2 138 342
2 139 286
2 140 449
2 141 325
2 142 458
2 143 551
2 144 858
2 145 298
2 146 322
2 147 654
2 148 635
2 149 688
2 150 602
2 151 115
2 152 289
2 153 468
2 154 727
2 155 441
2 156 144
2 157 482
2 158 726
2 159 447
2 160 741
2 161 150
2 162 472
2 163 347
2 164 722
2 165 629
2 166 319
2 167 601
2 168 650
2 169 289
2 170 575
2 171 464
2 172 364
2 173 677
2 174 740
2 175 621
2 176 279
2 177 498
2 178 910
2 179 660
2 180 342
2 181 394
2 182 730
2 183 622
2 184 298
2 185 227
2 186 686
2 187 449
2 188 579
2 189 161
2 190 440
2 191 498
2 192 892
2 193 320
2 194 380
2 195 236
2 196 366
2 197 638
2 198 566
2 199 134
2 200 743
3 1 459
3 2 235
3 4 414
3 5 93
3 6 686
3 7 563
3 8 359
3 9 859
3 10 747
3 11 687
3 12 444
3 13 730
3 14 649
3 15 639
3 16 931
3 17 743
3 18 794
3 19 183
3 20 693
3 21 642
3 22 985
3 23 601
3 24 611
3 25 133
3 26 573
3 27 142
3 28 345
3 29 263
3 30 681
3 31 221
3 32 268
3 33 890
3 34 202
3 35 218
3 36 752
3 37 573
3 38 294
3 39 798
3 40 692
3 41 875
3 42 262
3 43 296
3 44 752
3 45 681
3 46 449
3 47 1052
3 48 761
3 49 705
3 50 1013
3 51 856
3 52 403
3 53 229
3 54 592
3 55 457
3 56 610
3 57 651
3 58 872
3 59 541
3 60 775
3 61 99
3 62 571
3 63 577
3 64 738
3 65 965
3 66 655
3 67 443
3 68 712
3 69 370
3 70 140
3 71 117
3 72 348
3 73 517
3 74 772
3 75 354
3 76 798
3 77 99
3 78 464
3 79 326
3 80 738
3 81 838
3 82 648
3 83 180
3 84 769
3 85 773
3 86 678
3 87 596
3 88 484
3 89 820
3 90 763
3 91 141
3 92 608
3 93 593
3 94 447
3 95 861
3 96 667
3 97 114
3 98 526
3 99 435
3 100 226
3 101 847
3 102 665
3 103 528
3 104 141
3 105 632
3 106 645
3 107 303
3 108 356
3 109 519
3 110 326
3 111 628
3 112 265
3 113 131
3 114 558
3 115 417
3 116 672
3 117 509
3 118 864
3 119 927
3 120 583
3 121 353
3 122 548
3 123 561
3 124 318
3 125 386
3 126 901
3 127 247
3 128 295
3 129 924
3 130 622
3 131 653
3 132 728
3 133 276
3 134 101
3 135 639
3 136 356
3 137 753
3 138 132
3 139 224
3 140 681
3 141 556
3 142 387
3 143 776
3 144 1013
3 145 529
3 146 311
3 147 844
3 148 866
3 149 580
3 150 567
3 151 134
3 152 512
3 153 680
3 154 916
3 155 676
3 156 229
3 157 683
3 158 659
3 159 291
3 160 662
3 161 86
3 162 673
3 163 135
3 164 648
3 165 814
3 166 209
3 167 605
3 168 650
3 169 72
3 170 717
3 171 676
3 172 190
3 173 827
3 174 901
3 175 848
3 176 192
3 177 642
3 178 1058
3 179 687
3 180 120
3 181 605
3 182 646
3 183 856
3 184 406
3 185 301
3 186 791
3 187 683
3 188 806
3 189 156
3 190 650
3 191 395
3 192 1057
3 193 518
3 194 291
3 195 295
3 196 518
3 197 869
3 198 744
3 199 259
3 200 866
4 1 54
4 2 241
4 3 414
4 5 327
4 6 911
4 7 838
4 8 707
4 9 538
4 10 447
4 11 473
4 12 81
4 13 579
4 14 803
4 15 550
4 16 861
4 17 704
4 18 435
4 19 264
4 20 349
4 21 798
4 22 987
4 23 636
4 24 226
4 25 532
4 26 205
4 27 491
4 28 689
4 29 454
4 30 845
4 31 231
4 32 509
4 33 677
4 34 294
4 35 505
4 36 900
4 37 585
4 38 385
4 39 869
4 40 849
4 41 683
4 42 465
4 43 685
4 44 654
4 45 691
4 46 563
4 47 1003
4 48 683
4 49 798
4 50 940
4 51 665
4 52 367
4 53 279
4 54 740
4 55 672
4 56 640
4 57 276
4 58 882
4 59 387
4 60 695
4 61 406
4 62 447
4 63 486
4 64 516
4 65 881
4 66 274
4 67 803
4 68 514
4 69 293
4 70 383
4 71 314
4 72 689
4 73 144
4 74 734
4 75 330
4 76 908
4 77 407
4 78 103
4 79 163
4 80 625
4 81 621
4 82 626
4 83 330
4 84 522
4 85 380
4 86 846
4 87 221
4 88 645
4 89 808
4 90 534
4 91 359
4 92 625
4 93 758
4 94 91
4 95 739
4 96 713
4 97 357
4 98 556
4 99 474
4 100 262
4 101 843
4 102 545
4 103 875
4 104 387
4 105 229
4 106 323
4 107 633
4 108 358
4 109 107
4 110 120
4 111 574
4 112 433
4 113 543
4 114 188
4 115 579
4 116 762
4 117 604
4 118 652
4 119 928
4 120 472
4 121 484
4 122 436
4 123 856
4 124 221
4 125 54
4 126 868
4 127 206
4 128 280
4 129 929
4 130 724
4 131 835
4 132 720
4 133 239
4 134 486
4 135 316
4 136 427
4 137 846
4 138 468
4 139 525
4 140 433
4 141 340
4 142 698
4 143 554
4 144 978
4 145 209
4 146 561
4 147 736
4 148 598
4 149 928
4 150 839
4 151 338
4 152 165
4 153 280
4 154 805
4 155 373
4 156 188
4 157 562
4 158 965
4 159 675
4 160 981
4 161 338
4 162 554
4 163 475
4 164 962
4 165 721
4 166 553
4 167 829
4 168 879
4 169 483
4 170 726
4 171 276
4 172 583
4 173 811
4 174 859
4 175 470
4 176 514
4 177 655
4 178 1035
4 179 880
4 180 533
4 181 467
4 182 970
4 183 553
4 184 506
4 185 458
4 186 862
4 187 411
4 188 571
4 189 265
4 190 506
4 191 737
4 192 998
4 193 113
4 194 379
4 195 470
4 196 532
4 197 607
4 198 677
4 199 365
4 200 901
5 1 370
5 2 184
5 3 93
5 4 327
5 6 743
5 7 630
5 8 440
5 9 797
5 10 689
5 11 644
5 12 364
5 13 702
5 14 689
5 15 621
5 16 925
5 17 740
5 18 724
5 19 132
5 20 624
5 21 682
5 22 996
5 23 610
5 24 532
5 25 223
5 26 497
5 27 214
5 28 425
5 29 238
5 30 724
5 31 163
5 32 313
5 33 852
5 34 172
5 35 274
5 36 793
5 37 576
5 38 292
5 39 822
5 40 733
5 41 841
5 42 293
5 43 386
5 44 736
5 45 687
5 46 470
5 47 1053
5 48 750
5 49 732
5 50 1009
5 51 822
5 52 381
5 53 149
5 54 628
5 55 506
5 56 618
5 57 575
5 58 883
5 59 504
5 60 763
5 61 141
5 62 543
5 63 556
5 64 695
5 65 957
5 66 578
5 67 528
5 68 673
5 69 333
5 70 110
5 71 80
5 72 427
5 73 439
5 74 770
5 75 328
5 76 831
5 77 141
5 78 385
5 79 260
5 80 718
5 81 798
5 82 646
5 83 116
5 84 722
5 85 694
5 86 721
5 87 519
5 88 520
5 89 825
5 90 720
5 91 94
5 92 614
5 93 634
5 94 368
5 95 842
5 96 682
5 97 118
5 98 530
5 99 435
5 100 182
5 101 855
5 102 641
5 103 611
5 104 113
5 105 549
5 106 580
5 107 378
5 108 337
5 109 431
5 110 249
5 111 618
5 112 232
5 113 222
5 114 482
5 115 449
5 116 697
5 117 529
5 118 826
5 119 937
5 120 558
5 121 371
5 122 521
5 123 633
5 124 266
5 125 303
5 126 904
5 127 155
5 128 260
5 129 935
5 130 648
5 131 700
5 132 732
5 133 228
5 134 185
5 135 573
5 136 357
5 137 780
5 138 161
5 139 285
5 140 631
5 141 507
5 142 459
5 143 734
5 144 1016
5 145 459
5 146 362
5 147 828
5 148 816
5 149 664
5 150 634
5 151 124
5 152 438
5 153 599
5 154 901
5 155 615
5 156 140
5 157 660
5 158 734
5 159 380
5 160 741
5 161 63
5 162 650
5 163 167
5 164 725
5 165 801
5 166 284
5 167 661
5 168 708
5 169 164
5 170 725
5 171 595
5 172 280
5 173 832
5 174 901
5 175 773
5 176 259
5 177 648
5 178 1065
5 179 737
5 180 210
5 181 575
5 182 726
5 183 799
5 184 420
5 185 321
5 186 815
5 187 628
5 188 762
5 189 65
5 190 621
5 191 475
5 192 1056
5 193 434
5 194 236
5 195 320
5 196 518
5 197 820
5 198 734
5 199 254
5 200 883
6 1 964
6 2 683
6 3 686
6 4 911
6 5 743
6 7 151
6 8 381
6 9 1002
6 10 906
6 11 757
6 12 875
6 13 676
6 14 166
6 15 571
6 16 623
6 17 504
6 18 1033
6 19 687
6 20 948
6 21 165
6 22 534
6 23 387
6 24 972
6 25 591
6 26 925
6 27 545
6 28 384
6 29 945
6 30 137
6 31 703
6 32 433
6 33 837
6 34 639
6 35 471
6 36 172
6 37 431
6 38 526
6 39 328
6 40 148
6 41 796
6 42 464
6 43 497
6 44 600
6 45 417
6 46 359
6 47 657
6 48 572
6 49 273
6 50 673
6 51 785
6 52 569
6 53 890
6 54 204
6 55 244
6 56 394
6 57 977
6 58 460
6 59 661
6 60 577
6 61 604
6 62 621
6 63 577
6 64 785
6 65 664
6 66 991
6 67 372
6 68 741
6 69 632
6 70 825
6 71 682
6 72 379
6 73 906
6 74 510
6 75 590
6 76 255
6 77 603
6 78 877
6 79 749
6 80 621
6 81 819
6 82 471
6 83 856
6 84 834
6 85 1093
6 86 127
6 87 946
6 88 270
6 89 479
6 90 806
6 91 823
6 92 415
6 93 174
6 94 870
6 95 677
6 96 358
6 97 631
6 98 422
6 99 462
6 100 663
6 101 475
6 102 618
6 103 320
6 104 827
6 105 1020
6 106 893
6 107 399
6 108 561
6 109 998
6 110 793
6 111 520
6 112 950
6 113 635
6 114 921
6 115 332
6 116 279
6 117 339
6 118 823
6 119 502
6 120 604
6 121 428
6 122 608
6 123 187
6 124 691
6 125 859
6 126 548
6 127 867
6 128 632
6 129 495
6 130 269
6 131 107
6 132 450
6 133 674
6 134 594
6 135 890
6 136 486
6 137 275
6 138 796
6 139 463
6 140 803
6 141 735
6 142 318
6 143 798
6 144 611
6 145 849
6 146 382
6 147 647
6 148 916
6 149 325
6 150 143
6 151 635
6 152 876
6 153 1046
6 154 684
6 155 878
6 156 811
6 157 623
6 158 207
6 159 485
6 160 245
6 161 683
6 162 617
6 163 796
6 164 226
6 165 613
6 166 484
6 167 84
6 168 36
6 169 646
6 170 421
6 171 1045
6 172 548
6 173 488
6 174 562
6 175 1107
6 176 494
6 177 415
6 178 621
6 179 72
6 180 653
6 181 639
6 182 257
6 183 969
6 184 411
6 185 457
6 186 325
6 187 837
6 188 832
6 189 780
6 190 652
6 191 353
6 192 677
6 193 955
6 194 974
6 195 449
6 196 449
6 197 907
6 198 550
6 199 551
6 200 416
7 1 892
7 2 601
7 3 563
7 4 838
7 5 630
7 6 151
7 8 234
7 9 1010
7 10 906
7 11 766
7 12 814
7 13 708
7 14 246
7 15 595
7 16 714
7 17 567
7 18 1022
7 19 594
7 20 929
7 21 241
7 22 654
7 23 420
7 24 932
7 25 457
7 26 884
7 27 422
7 28 240
7 29 817
7 30 241
7 31 616
7 32 334
7 33 881
7 34 551
7 35 359
7 36 300
7 37 451
7 38 457
7 39 438
7 40 255
7 41 844
7 42 375
7 43 349
7 44 650
7 45 474
7 46 331
7 47 770
7 48 629
7 49 362
7 50 775
7 51 830
7 52 530
7 53 779
7 54 245
