nnodes nedges type capacity P s t
10  203  graph  9999999 100 1 10
nodename posx posy itemvalue itemweight
1 563 57 44000 60
2 716 375 80800 6
3 828 300 83440 18
4 44 847 81600 8
5 923 364 90160 1
6 766 200 85800 13
7 438 763 150200 4
8 928 792 92600 12
9 424 813 178000 1
10 554 332 15000 11
endpoint1 endpoint2 weight
1 2 99
1 3 2
1 4 19
1 5 1
1 6 3
1 7 5
1 8 4
1 9 3
1 10 9
2 1 3
2 3 1
2 4 8
2 5 2
2 6 3
2 7 5
2 8 4
2 9 1
2 10 9
3 1 3
3 2 1
3 4 9
3 5 1
3 6 3
3 7 5
3 8 4
3 9 2
3 10 9
4 1 9
4 2 8
4 3 9
4 5 13
4 6 3
4 7 5  
4 8 4
4 9 2
4 10 9
5 1 4
5 2 2
5 3 1
5 4 13
5 6 3
5 7 5
5 8 4  
5 9 2
5 10 9
6 1 2
6 2 1
6 3 1
6 4 9
6 5 2
6 7 6
6 8 6
6 9 7
6 10 2
7 1 7
7 2 4
7 3 6
7 4 4
7 5 6
7 6 6
7 8 4
7 9 5
7 10 4
8 1 8
8 2 4
8 3 5
8 4 8
8 5 4
8 6 6
8 7 4
8 9 5
8 10 5
9 1 7
9 2 5
9 3 6
9 4 3
9 5 6
9 6 7
9 7 5
9 8 5
9 10 4
10 1 2
10 2 1
10 3 2
10 4 7
10 5 3
10 6 2
10 7 4
10 8 5
10 9 4
